图录号(ABCD),禁止出关(BCD),中文作者,中文名称(ABCD),中文作者二,中文名称二( B),中文年代(ABC),中文材质(AB),中文签名(A),题识钤印(AB),中文出版(ABC),中文展览(ABC),中文来源(AB),中文描述(ABCD),中文纪录（BC),中文著录（B),中文款识（C),中文收藏（C),中文参阅 C,英文作者(AB),英文名称(ABCD),英文年代(ABC),英文材质(AB),英文签名(AB),英文出版(AC),英文展览(AC),英文来源(AC),英文参阅（C),尺寸(ABC),估价(ABCD)
486,,诸乐三,山厨珍味图册,,,33×45 cm.(8) 约1.3平尺(每开),册页（八开） 设色纸本,,（八）正祥兄属写花果图八帧。诸乐三。<br>钤印：诸乐三印、希斋长寿、希斋<br>其余各开题识、钤印皆略。,,,,是册共八开，分绘桃花、桃实、柿子百合、雁来红、芋头、白菜萝卜、冬笋蘑菇、石榴等四季花果。据后题可知，1960年代画家绘成此册，原系自珍自藏之物，至1973年题赠上款人。各开所绘主题，或有吉祥寓意，如百合柿子“百事如意”，或画意清雅，如白菜萝卜“菜根香”，笔墨虽为吴昌硕大写意一脉，却文气十足，冷雋可爱。其中桃实一开题为“度索移来”，典出《山海经》，度索即度朔山，为传说中的东海仙山。,,,,,,ZHU LESAN ,GARDEN STUFF,,"Album of 8 leaves, ink and color on paper.","Signed by Zhu Lesan, with dozens of seals of the artist.",,,,,33×45 cm.(8) 约1.3平尺(每开)," 30,000-40,000"
487,,王康乐,溪山无尽,,,35×122.7 cm. 约3.9平尺,镜心 设色纸本,,题识：余尝数作《溪山无尽图卷》，每于舟行中目睹山川胜景，如万丈画卷，乃吾家作图范本也，兹构其一式。奉化王康乐写，时年八十又八。<br>钤印：康乐、王、乐翁,,,,,,,,,,WANG KANGLE ,A TOWER IN THE MOUNTAINS,1994,"Mounted, ink and color on paper.","Signed Wang Kangle, dated 1994, inscribed, with three seals of the artist.",,,,,35×122.7 cm. 约3.9平尺," 12,000-18,000"
488,,岑学恭,巫山巫峡气萧森,,,99×54 cm. 约4.8平尺,立轴 设色纸本,,题识：巫山巫峡气萧森。杜工部句。己巳新春正月，学恭于成都。<br>钤印：岑、学恭长年、锦绣河山、塞上人、白云深处、渐入佳境,,,,,,,,,,CEN XUEGONG ,WUSHAN MOUNTAIN,1989,"Hanging scroll, ink and color on paper.","Signed Xuegong, entitled, dated jisi,1989, with six seals of the artist.",,,,,99×54 cm. 约4.8平尺," 20,000-28,000"
489,,周韶华,九龙奔江,,,66×98.6 cm. 约5.9平尺,镜心 设色纸本,,题识：九龙奔江。壬戌年五月，为纪念屈原而作，韶华并志。<br>钤印：周、鲁人、肖形印、韶华书画,,,,,,,,,,ZHOU SHAOHUA ,GREAT WAVES,1982,"Mounted, ink and color on paper.","Signed Shaohua, dated renxu,1982, with three seals of the artist.",,,,,66×98.6 cm. 约5.9平尺,"5,000-7,000 "
490,,薛亮,并蒂花开别样红,,,67.5×47 cm. 约2.9平尺,立轴 设色纸本,,题识：并蒂花开别样红。时维丁亥年仲春，薛亮写于石头城汉中门外淡淡斋。<br>钤印：淡斋、薛亮、物外求趣、为所欲为,,,,,,,,,,XUE LIANG ,TWO BIERDS AND LOTUS,2007,"Hanging scroll, ink and color on paper.","Signed Xue Liang, entitled, dated dinghai,2007, with four seals of the artist.",,,,,67.5×47 cm. 约2.9平尺," 25,000-32,000"
491,,陈子庄,山外夕阳,,,18.8×52.8 cm. 约0.9平尺,扇面镜心 设色纸本,,题识：山外夕阳。毓均同志属画，甲寅四月，南原写。<br>钤印：石壶长年,,,,,,,,,,CHEN ZIZHUANG,SUNSET IN THE MOUNTAIN VILLAGE,1974,"Mounted fan, ink and color on paper.","Signed Nanyuan, entitled, dated jiayin,1974, with a dedication and one seal of the artist.",,,,,18.8×52.8 cm. 约0.9平尺,"5,000-7,000 "
492,,谢振瓯,南无观世音菩萨,,,107.5×45.7 cm. 约4.4平尺(本幅) 107.5×10.5 cm. 约1平尺(边跋),镜心 设色纸本,,本幅：南无观世音菩萨。永嘉振瓯敬造。<br>钤印：振瓯、永嘉、平常无事<br>边跋：（谢振瓯题）（文略）《般若波罗蜜多心经》。丙戌（2006年），永嘉普诚抄经，时客杭州。<br>钤印：永嘉谢氏、受福、一心供养、随喜,,,,,,,,,,XIE ZHEN'OU ,BODHISATTVA,,"Mounted, ink and color on paper.","Signed and annotation by Xie Zhen'ou, entitled, with seven seals of the artist.",,,,,107.5×45.7 cm. 约4.4平尺(本幅) 107.5×10.5 cm. 约1平尺(边跋)," 40,000-50,000"
493,,周韶华,月涌大江流,,,137×68 cm. 约8.4平尺,立轴 设色纸本,,题识：月涌大江流。一九八七年，韶华并志。<br>钤印：韶华之印、周,,,,,,,,,,ZHOU SHAOHUA ,SEAGULL,1987,"Hanging scroll, ink and color on paper.","Signed Shaohua, entitled, dated 1987, with two seals of the artist.",,,,,137×68 cm. 约8.4平尺,"5,000-7,000 "
494,,曾倩辉,凌波仙子,,,131.5×62 cm. 约7.4平尺,镜心 设色纸本,,题识：微步凌波欲荡尘，一弹指顷见天人。分明宋玉高唐梦，漫说陈王感赋甄。湘乡曾倩辉。<br>钤印：湘乡曾氏、倩辉,,,,曾倩辉，湖南湘乡人，现居香港。曾国荃后人，幼承家学，擅绘山水人物。其父曾后希，作品曾获1946年南京全国美展第一名。,,,,,,ZENG QIANHUI ,A FAIRY,,"Mounted, ink and color on paper.","Signed Zeng Qianhui, with two seals of the artist.",,,,,131.5×62 cm. 约7.4平尺," 120,000-160,000"
495,,黄纯尧,峡江行,,,69.5×137 cm. 约8.6平尺,镜心 设色纸本,,题识：峡江行。黄纯尧丁丑作。<br>钤印：黄纯尧印、学到老、有成法无定法,,,,,,,,,,HUANG CHUNYAO ,TRIP TO XIAJIANG,1997,"Mounted, ink and color on paper.","Signed Huang Chunyao, entitled, dated dingchou,1997, with three seals of the artist.",,,,,69.5×137 cm. 约8.6平尺," 20,000-28,000"
496,,亚明,衡阳雁去无留意,,,89.2×47.8 cm. 约3.8平尺,立轴 设色纸本,,题识：衡阳雁去无留意。乙丑孟夏客沪上，亚明。<br>钤印：亚明之印、神畅,,,,,,,,,,YA MING ,GEESES FLYING TO SOUTH,1985,"Hanging scroll, ink and color on paper.","Signed Ya Ming, dated yichou,1985, with two seals of the artist.",,,,,89.2×47.8 cm. 约3.8平尺,"15,000-22,000 "
497,,宋文治,黄山云,,,66.8×45.2 cm. 约2.7平尺,立轴 设色纸本,,题识：黄山云。一九六三年曾访黄岳，登玉屏楼，越莲花沟，居北海宾馆。每喜上始信峰，远眺北海群岚，山顶常在白云中出没，气象万千，叹为壮观。石笋矼，奇景不虚也。文治并记。<br>钤印：娄江宋灏、松石斋,,,,,,,,,,SONG WENZHI ,MOUNTAINS AND CLOUDS,,"Hanging scroll, ink and color on paper.","Signed Wenzhi, entitled, with two seals of the artist.",,,,,66.8×45.2 cm. 约2.7平尺,"30,000-40,000 "
498,,宋文治,江南三月,,,20×62 cm. 约1.1平尺,扇面镜心 设色纸本,,题识：江南三月。娄江文治。<br>钤印：文治、宋灏之印、太仓人,,,,,,,,,,SONG WENZHI,JIANGNAN'S SCENERY IN MARCH,,"Mounted fan, ink and color on paper.","Signed Wenzhi, entitled, with three seals of the artist.",,,,,20×62 cm. 约1.1平尺," 40,000-50,000"
499,*,钱松嵒,松岩图,,,67×44.5 cm. 约2.7平尺,立轴 设色纸本,,题识：八十三叟钱松嵒作于香山。<br>钤印：钱、松岩、大好河山,,,,,,,,,,QIAN SONGYAN ,PINE TREES,1981,"Hanging scroll, ink and color on paper. ","Signed Qian Songyan, dated 1981, with three seals of the artist.",,,,,67×44.5 cm. 约2.7平尺," 40,000-50,000"
500,,杨彦,大宁河揽胜图卷,,,32×2385 cm. 约68.8平尺(画心),手卷 设色纸本,,引首：黄苗子题识、钤印皆略。<br>画心：钤印：杨彦<br>后纸：（启功题）（文略）此卷长近三丈，写来备见勤苦，获观弥感欣慰也。启功。 钤印：启功,《杨彦书画集·一》第130至133页，新华书店，1995年8月,,,是卷长近24米，堪称煌煌巨制。卷首原有李可染题耑“大宁河揽胜图卷”，惜已散佚。,,,,,,YANG YAN ,THE YANGTZE RIVER,,"Hand scroll, ink and color on paper.","No singature, annotation by Huang Miaozi and Qi Gong, inscribed, with five seals of the artist.",,,,,32×2385 cm. 约68.8平尺(画心)," 200,000-280,000"
501,,胡爽盦,狂欢,,,94×176 cm. 约14.9平尺,横披 设色纸本,,题识：狂欢。胡爽盦写。<br>钤印：襄阳人、胡爽盦、有生气,,,,,,,,,,HU SHUANG'AN ,TIGERS,,"Horizontal scroll, ink and color on paper.","Signed Hu Shuang'an, entitled, with three seals of the artist.",,,,,94×176 cm. 约14.9平尺,"5,000-7,000 "
502,,刘勃舒,五马图,,,149×80 cm. 约10.7平尺,立轴 设色纸本,,题识：丁卯年，勃舒画。<br>钤印：勃舒画马、悲鸿门下,,,,,,,,,,LIU BOSHU ,FIVE HORSES,1987,"Hanging scroll, ink and color on paper.","Signed Boshu, dated dingmao,1987, with two seals of the artist.",,,,,149×80 cm. 约10.7平尺,"5,000-7,000 "
503,,孙其峰,双安图,,,34.5×46 cm. 约1.4平尺,镜心 设色纸本,,题识：戊午年寒露，其峰作于北京西郊。<br>钤印：孙、其峰所写,,,,,,,,,,SUN QIFENG ,TWO QUAILS,1978,"Mounted, ink and color on paper.","Signed Qifeng, dated wuwu,1978, with two seals of the artist.",,,,,34.5×46 cm. 约1.4平尺,"5,000-7,000 "
504,,孙其峰,松巅双鸠,,,67.2×44.4 cm. 约2.7平尺,立轴 设色纸本,,题识：其峰写于京郊，时戊午暮春。<br>钤印：孙,,,,,,,,,,SUN QIFENG ,PINE AND COOERS,1978,"Hanging scroll, ink and color on paper.","Signed Qifeng, dated wuwu,1978, with one seal of the artist.",,,,,67.2×44.4 cm. 约2.7平尺,"5,000-7,000 "
505,,聂鸥,乡情,,,67.5×65.5 cm. 约4平尺,立轴 设色纸本,,题识：八六年八月，聂鸥作于北京东郊。<br>钤印：聂鸥,,,,,,,,,,NIE OU ,FARMHOUSE,1986,"Hanging scroll, ink and color on paper.","Signed Nie Ou, dated 1986, with one seal of the artist.",,,,,67.5×65.5 cm. 约4平尺,"5,000-7,000 "
506,,宋吟可,猫趣,,,68×45 cm. 约2.8平尺,立轴 设色纸本,,题识：己未新秋，晨窗作此遣兴，白下宋吟可时年七十八。<br>钤印：吟可所作,,,,,,,,,,SONG YINKE ,A CAT ON THE STONE,1979,"Hanging scroll, ink and color on paper.","Signed Song Yinke, dated jiwei,1979, with one seal of the artist.",,,,,68×45 cm. 约2.8平尺,"5,000-7,000 "
507,,聂鸥,冬将至,,,68×65.8 cm. 约4平尺,立轴 设色纸本,,题识：风枯残荷，霜裂干塘，全为冬将至。八六年十二月，聂鸥作于京郊六里屯。<br>钤印：聂鸥,,,,,,,,,,NIE OU ,FARM WORK,1986,"Hanging scroll, ink and color on paper.","Signed Nie Ou, dated 1986, with one seal of the artist.",,,,,68×65.8 cm. 约4平尺,"5,000-7,000 "
508,,王明明,童趣,,,44.2×33.5 cm. 约1.3平尺,立轴 设色纸本,,题识：戊午初冬，明明写。 钤印：王,,,,,,,,,,WANG MINGMING,CHILDREN'S INTEREST,1978,"Hanging scroll, ink and color on paper.","Signed Mingming, dated wuwu,1978, with one seal of the artist.",,,,,44.2×33.5 cm. 约1.3平尺,"5,000-7,000 "
509,,应野平,百丈飞流急,,,89×47.4 cm. 约3.8平尺,立轴 水墨纸本,,题识：百丈飞流急，一溪春水香。丙寅新秋，应野平写于春申江上。<br>钤印：应、野平、七十岁后作,,,,,,,,,,YING YEPING ,WATERFALL,1986,"Hanging scroll, ink on paper.","Signed Ying Yeping, dated bingyin,1986, with three seals of the artist.",,,,,89×47.4 cm. 约3.8平尺,"5,000-7,000 "
510,,张桂铭,石榴,,,68×33.5 cm. 约2.1平尺,立轴 设色纸本,,题识：桂铭。<br>钤印：张、肖形印,,,,张桂铭，浙江绍兴人，曾任上海中国画院副院长、刘海粟美术馆执行馆长等职。,,,,,,ZHANG GUIMING ,POMEGRANATE,,"Hanging scroll, ink and color on paper.","Signed Guiming, with two seals of the artist.",,,,,68×33.5 cm. 约2.1平尺,"5,000-7,000 "
511,,张大壮,桂花幽禽,,,99.5×49 cm. 约4.4平尺,立轴 设色纸本,,题识：甲辰清明前夕，杭州张大壮作。<br>钤印：大壮、肖形印,,,,,,,,,,ZHANG DAZHUANG ,BIRD AND OSMANTHUS,1964,"Hanging scroll, ink and color on paper.","Signed Zhang Dazhuang, dated jiachen,1964, with two seals of the artist.",,,,,99.5×49 cm. 约4.4平尺,"5,000-7,000 "
512,,唐云,美人蕉雏鸡,,,67.5×37 cm. 约2.3平尺,立轴 设色纸本,,题识：唐云画。一九七七年二月。<br>钤印：唐云唯印,,,,,,,,,,TANG YUN ,CHICKENS,1977,"Hanging scroll, ink and color on paper.","Signed Tang Yun, dated 1977, with one seal of the artist.",,,,,67.5×37 cm. 约2.3平尺,"5,000-7,000 "
513,,贾又福,金霞,,,34.2×36.4 cm. 约1.1平尺,镜心 设色纸本,,题识：金霞。又福。<br>钤印：福,,,,,,,,,,JIA YOUFU ,SETTING SUN,,"Mounted, ink and color on paper.","Signed Youfu, entitled, with one seal of the artist.",,,,,34.2×36.4 cm. 约1.1平尺,"5,000-7,000 "
514,,袁晓岑,版纳小景,,,67.5×44.5 cm. 约2.7平尺,立轴 设色纸本,,题识：版纳小景。甲子春，袁晓岑。<br>钤印：袁晓岑,,,,,,,,,,YUAN XIAOCEN ,PEACOCK AND PINE,1984,"Hanging scroll, ink and color on paper.","Signed Yuan Xiaocen, entitled, dated jiazi,1984, with one seal of the artist.",,,,,67.5×44.5 cm. 约2.7平尺,"5,000-7,000 "
515,,杨延文,二月春风,,,89.5×96 cm. 约7.7平尺,立轴 设色纸本,,题识：二月春风。铸剑堂柏树村人延文。<br>钤印：杨延文、延文画印,,,,,,,,,,YANG YANWEN ,HOUSES BY THE RIVER,,"Hanging scroll, ink and color on paper.","Signed Yanwen, entitled, with two seals of the artist.",,,,,89.5×96 cm. 约7.7平尺,"5,000-7,000 "
516,,袁晓岑,和平颂,,,67×45 cm. 约2.7平尺,立轴 设色纸本,,题识：和平颂。癸亥之秋，袁晓岑写于京华。<br>钤印：袁晓岑、知有不尽,,,,,,,,,,YUAN XIAOCEN ,THREE DOVES,1983,"Hanging scroll, ink and color on paper.","Signed Yuan Xiaocen, entitled, dated guihai,1983, with two seals of the artist.",,,,,67×45 cm. 约2.7平尺,"5,000-7,000 "
517,,贾又福,抱月餐云图,,,48×33.7 cm. 约1.5平尺,镜心 水墨纸本,,题识：抱月餐云图。镜真楼主人以意为之，又福。<br>钤印：福,,,,,,,,,,JIA YOUFU ,THE MAN LOOKING AT THE MOON,,"Mounted, ink on paper.","Signed Youfu, entitled, with one seal of the artist.",,,,,48×33.7 cm. 约1.5平尺,"5,000-7,000 "
518,,贾又福,渔舟,,,22×12.7 cm. 约0.25平尺,镜心 水墨纸本,,题识：福。<br>钤印：贾,,,,,,,,,,JIA YOUFU ,FISHERBOAT,,"Mounted, ink on paper.","Signed Fu, with one seal of the artist.",,,,,22×12.7 cm. 约0.25平尺,"5,000-7,000 "
519,,白雪石,黄山天下奇,,,88×67.5 cm. 约5.4平尺,立轴 设色纸本,,题识：黄山天下奇。丙寅夏，雪石写。<br>钤印：老白、雪石、雪石长年,,,,,,,,,,BAI XUESHI ,MOUNT HUANG,1986,"Hanging scroll, ink and color on paper.","Signed Xueshi, entitled, dated bingyin,1986, with three seals of the artist.",,,,,88×67.5 cm. 约5.4平尺,"5,000-7,000 "
520,,范曾,竹林七贤,,,124×247.5 cm. 约27.7平尺,镜心 设色纸本 ,,题识：竹林七贤。风云十载再逢迟，正始诸贤到碧墀。阮籍遥深吟逸句，稽康峻切奏雄词。谈玄似欲轻匡世，寄隐何能忘济时。此画奇缘归睿赏，岂同麟阁汗青垂。十年前于巴黎写《竹林七贤图》，颇抒己怀，壬午重写，曷胜今昔之叹。抱冲斋主十翼江东范曾。<br>钤印：十翼、范曾、壬午、略通古今之变、青山不老、碧水长流,《范曾作品精选集》第42至43页，山东美术出版社，2007年11月,,,,北京拍卖会，2005年5月15日，编号299,,,,,FAN ZENG ,THE SEVEN SAGES OF THE BAMBOO GROVE,,"Mounted, ink and color on paper.","Signed Fan Zeng, entitled, dated renwu,2002, inscribed, with six seals of the artist.",,,,,124×247.5 cm. 约27.7平尺," 3,500,000-4,500,000"
521,,崔子范,红荷映日,,,134.5×65.5 cm. 约7.9平尺,立轴 设色纸本,,题识：甲子春，子范。<br>钤印：崔子范,,,,,,,,,,CUI ZIFAN ,RED LOTUS,1984,"Hanging scroll, ink and color on paper.","Signed Zifan, dated jiazi,1984, with one seal of the artist.",,,,,134.5×65.5 cm. 约7.9平尺," 60,000-80,000"
522,,孙其峰,杏林双鹊,,,31×20.8 cm. 约0.58平尺,镜心 设色纸本,,题识：1.琪峰。2.角榆同志正谬，琪峰又题。<br>钤印：孙氏、琪峰,,,,上款“角榆”即陈角榆（1916-1990），广东中山人，早年就读于国立杭州美术学院，抗日期间赴延安，就读于鲁迅艺术学院。1951年后任广东省交通厅厅长、华南工业厅厅长等职。,,,,,,SUN QIFENG ,MAGPIE,,"Mounted, ink and color on paper.","Signed Qifeng, with a dedication and two seals of the artist.",,,,,31×20.8 cm. 约0.58平尺," 30,000-40,000"
523,,溥佐,松瀑腊嘴,,,18.5×55.5 cm. 约0.93平尺,扇面镜心 设色洒金笺,,题识：爱新觉罗溥佐。<br>钤印：溥佐印信长寿、长白爱新觉罗溥佐字庸斋长寿印,,,,,,,,,,PU ZUO,PINE TREE AND WAX BEAK SPARROW,,"Mounted fan, ink and color on gold-flecked paper.","Signed Pu Zuo, with two seals of the artist.",,,,,18.5×55.5 cm. 约0.93平尺,"5,000-7,000 "
524,,崔子范,富贵大吉,,,68.5×45 cm. 约2.8平尺,镜心 设色纸本,,题识：癸亥岁，子范。<br>钤印：崔子范,,,,,,,,,,CUI ZIFAN ,A COCK,1983,"Mounted, ink and color on paper.","Signed Zifan, dated guihai,1983, with one seal of the artist.",,,,,68.5×45 cm. 约2.8平尺," 25,000-32,000"
525,,李苦禅,盛荷图,,,138×60 cm. 约7.5平尺,立轴 设色纸本,,题识：盛荷图。丁巳年夏月于京华，苦禅写。<br>钤印：苦禅、李英之印,,,,,,,,,,LI KUCHAN ,LOTUS,1977,"Hanging scroll, ink and color on paper.","Signed Kuchan, entitled, dated dingsi,1977, with two seals of the artist.",,,,,138×60 cm. 约7.5平尺,"100,000-120,000 "
527,,田世光,欢天喜地,,,136.5×68 cm. 约8.4平尺,立轴 设色纸本,,题识：欢天喜地。忆宋赵昌《四喜图》曾藏于故内，兹写双鹊。田世光于柳浪庄上。<br>钤印：田世光、世光写生、公炜留痕、师造化,,,,田世光得于非闇、张大千等名师指点，早期创作便展现不俗的造诣，在北平古物陈列所工作期间，更是苦心临摹黄荃、徐熙等前贤佳作，尽得宋元花鸟之神髓，后又有所创新，融各家所长，逐渐形成富丽典雅的绘画风格。<br>《欢天喜地》以丛竹、喜鹊、梅花入画，寓意平安吉祥。磐石被安排在画面右下角，其侧绿竹萦绕，梅枝自左探入，分出上下两股，蓓蕾竞相绽放，如闻阵阵清香。一只喜鹊高立枝头，转头望向右方，似正呼朋引伴，另只蹲踞低处石上，颔首翘尾。喜鹊翅、尾部以墨色、花青晕染，复以细笔绘出纹理，刻画工细，头部以浓墨辅以少量颜色表现，腹部与背部则以白色提亮，亦见精心。<br>画题“忆宋赵昌《四喜图》曾藏于故内，兹写双鹊”，虽有所本，却多以己意出之。赵氏原作竹丛、磐石位于画面左方，田世光翻转至另侧，喜鹊作一双两只，动势亦与赵作不同。田世光认为“笔墨当随时代，非可一味仿古”，是作寓意喜庆、笔墨精工，设色艳而不俗，诚属田氏之佳构。,,,,,,TIAN SHIGUANG,TWO BIRDS PERCHING ON THE PLUM,,"Hanging scroll, ink and color on paper.","Signed Tian Shiguang, entitled, with four seals of the artist.",,,,,136.5×68 cm. 约8.4平尺," 600,000-700,000"
528,*,黄胄,米芾《砂步诗帖》,,,99×13.2 cm. 约1.2平尺,立轴 水墨纸本,,释文：砂步漫皆合，松门若抱桴。悠悠摇艇子，真似剡溪图。黄胄。<br>钤印：蠡县梁氏黄胄,,,,,,,,,,HUANG ZHOU ,CALLIGRAPHY,,"Hanging scroll, ink on paper.","Signed Huang Zhou, with one seal of the artist.",,,,,99×13.2 cm. 约1.2平尺,"10,000-15,000 "
529,*,黄胄,五驴图,,,96×44 cm. 约3.8平尺,立轴 水墨纸本 庚申（1980年）作,,题识：粗粝不厌，高楼不攀。坎坷其途，任重道远。蔡作钦先生嘱，庚申年冬，黄胄。<br>钤印：映斋、黄胄写意、黄胄写意,,,,上款蔡作钦（1927-2010），广东东莞人，曾任粤中军分区十八团政治处干事、中南有色金属局实验室工会主席等职，后在韶关市卫生系统工作。,,,,,,HUANG ZHOU ,A GROUP OF DONKEYS,,"Hanging scroll, ink on paper.","Signed Huang Zhou, dated 1980, with three seals of the artist.",,,,,96×44 cm. 约3.8平尺,"80,000-100,000 "
530,*,黄胄,天山之舞,,,67.2×45.1 cm. 约2.7平尺,立轴 设色纸本,,题识：1.黄胄。2.洲崎周一先生正，黄胄。<br>钤印：黄胄、蠡县梁氏、黄胄,,,,上款洲崎周一（b.1953），生于香港，高中毕业后赴日，现任日本创价学会国际部部长、翻译局局长。中日友好使者池田大作的中文传译员，自1978年开始数次随其访华。,,,,,,HUANG ZHOU ,A DANCING GIRL,,"Hanging scroll, ink and color on paper.","Signed Huang Zhou, with three seals of the artist.",,,,,67.2×45.1 cm. 约2.7平尺,"120,000-150,000 "
531,,王雪涛,紫藤螳螂,,,32.5×53.5 cm. 约1.6平尺,立轴 设色纸本,,题识：雪涛。<br>钤印：王雪涛印,,,,,,,,,,WANG XUETAO ,WISTERIA MANTIS,,"Hanging scroll, ink and color on paper.","Signed Xuetao, with one seal of the artist.",,,,,32.5×53.5 cm. 约1.6平尺,"20,000-28,000 "
532,*,黄胄,雄鹰图,,,139×83 cm. 约10.4平尺,立轴 设色纸本,,题识：雄鹰图。黄胄一九八四年于福州。<br>钤印：黄胄之玺、黄胄之印<br>收藏印：慧,《黄胄小品习作选》第42页，天津人民美术出版社，2007年9月,,,黄胄画鹰不多，他画的鹰威风凛凛、器宇非凡，充盈着旺盛饱满的郁勃之气。<br>《雄鹰图》作于1984年，原为黄胄家藏之物。画中的雄鹰屹立高处，形体硕大伟岸，正回首望向右方，目光炯炯，凛然威重，气势非凡。羽毛用笔苍润松秀，墨色富深浅变化，看似信笔草草，实则生动得神。脚下的岩石简括粗放，加重画面的力量感，淡蓝色的远山则暗示出雄鹰落脚于山巅之上。作者以淋漓畅快的笔墨传达出豪迈磅礴的气度，实是黄胄澎湃激情的写照。<br>上世纪七、八十年代，黄胄数次为外交部创作松鹰题材的作品。据郑闻慧编纂的《中国艺术大师·黄胄》一书记载，1984年黄胄应邀在福建作画期间，外交部礼宾司人员前往福州，请画家为即将访华的美国总统里根创作纪念礼品《鹰》，“黄胄非常认真的作了几幅”，此幅或属这一期间所绘。,,,,,,HUANG ZHOU,AN EAGLE,1984,"Hanging scroll, ink and color on paper.","Signed Huang Zhou, entitled, dated 1984, with two seals of the artist and one seal of the collector.",,,,,139×83 cm. 约10.4平尺," 1,300,000-1,600,000"
533,,王雪涛,佳卉双帧,,,(一)37×44.5 cm. 约1.5平尺<br>(二)34.2×45.2 cm. 约1.4平尺,镜心（二帧） 水墨纸本、设色纸本,,（一）钤印：迟园、王雪涛印<br>（二）栀子花夏月开花，白色如玉，瓣下出香味，浓叶轮生，每集于梢头。<br>钤印：迟园、王雪涛印,,,,,,,,,,WANG XUETAO ,PEONY AND GARDENIA,,"Mounted(2), ink on paper, ink and color on paper.","No singature, with four seals of the artist.",,,,,(一)37×44.5 cm. 约1.5平尺<br>(二)34.2×45.2 cm. 约1.4平尺," 50,000-70,000"
534,*,黄胄、邵宇合作,芭蕉少女,,,138.5×69 cm. 约8.6平尺,立轴 设色纸本,,题识：荫塘同志留念教正，一九六一年十月廿一日晨，一时相聚东堂子胡同廿五号，黄胄、邵宇合作。<br>钤印：宇、邵宇印记、即事多所欣、敬慎谦容,,,,与中国书画（一）编号149拍品同为翟荫塘上款。翟荫塘（1921-1987），河北涞源人，早年投身革命工作，1949年后长期担任外交、后勤工作，曾任外交部总务司副司长、钓鱼台国宾馆管理局局长等职，并主持对钓鱼台国宾馆的重修，因工作原因与诸多名家交往，获赠精品殊多，与黄胄尤为至交。,,,,,,HUANG ZHOU AND SHAO YU,A GIRL WITH PLANTAINS,,"Hanging scroll, ink and color on paper.","Signed Huang Zhou, Shao Yu, dated 1961, with a dedication and four seals of the artists.",,,,,138.5×69 cm. 约8.6平尺," 1,400,000-1,800,000"
535,*,吴作人,大漠风云,,,33×44.6 cm. 约1.3平尺,立轴 水墨纸本,,题识：作人写大漠。<br>钤印：吴作人,,,,,,,,,,WU ZUOREN,CAMELS IN THE DESERT,,"Hanging scroll, ink on paper.","Signed Zuoren, with one seal of the artist.",,,,,33×44.6 cm. 约1.3平尺," 100,000-150,000"
536,*,吴作人,荷塘游鱼,,,51×39.3 cm. 约1.8平尺,镜心 设色纸本,,题识：钟长先生属正，作人笔。<br>钤印：吴作人,,,,上款“钟长”即蔡钟长，福建泉州人，印尼华侨，1949年后定居北京，曾任华建贸易公司董事长。与吴作人、黄胄等艺术家往来频繁，获写赠颇丰。拍品附吴作人赠蔡钟长新春贺卡及实寄封。,北京拍卖会“庆云堂中国书画专场”，2010年6月5日，编号62,,,,,WU ZUOREN ,GOLDFISH IN LOTUS POND,,"Mounted, ink and color on paper.","Signed Zuoren, with a dedication and one seal.",,,,,51×39.3 cm. 约1.8平尺," 80,000-100,000"
537,,新凤霞画，吴祖光题,佳期,,,68.5×34 cm. 约2.1平尺,立轴 设色纸本,,题识：（吴祖光题）佳期。祖光题凤霞画牡丹。<br>钤印：吴、凤霞祖光书画,,,,,,,,,,XIN FENGXIA ,FLOWER,,"Hanging scroll, ink and color on paper.","No singature, entitled, annotation by Wu Zuguang, with two seals of the artists.",,,,,68.5×34 cm. 约2.1平尺," 8,000-10,000"
538,,潘素,万里春光,,,62.5×39 cm. 约2.2平尺,镜心 设色洒金笺,,题识：万里春光。戊辰，潘素。<br>钤印：潘素、女河阳,,,,,,,,,,PAN SU ,SPRING SCENERY,1988,"Mounted, ink and color on gold-flecked paper.","Signed Pan Su, entitled, dated wuchen,1988, with two seals of the artist.",,,,,62.5×39 cm. 约2.2平尺,"8,000-10,000 "
539,,董寿平,碧玉琅玕,,,68.5×67.5 cm. 约4.2平尺,立轴 水墨纸本,,题识：董寿平。<br>钤印：董寿平、寿平八十以后作,,,,,,,,,,DONG SHOUPING ,BAMBOO,,"Hanging scroll, ink on paper.","Signed Dong Shouping, with two seals of the artist.",,,,,68.5×67.5 cm. 约4.2平尺,"100,000-120,000 "
